Number,Date,User,Tweet,Location
0,2023-03-15 17:45:53+00:00,LastQuake,"Help us keep doing what we've always done: inform and reassure citizens living in #earthquake-prone regions and and stand side-by-side with affected population in case of an #earthquake🙏 If you can, consider a donation to https://t.co/6Cc7sj0zpP Thank you💟 https://t.co/aC6hcoj6EP","based in Paris, works globally"
1,2023-03-15 16:42:26+00:00,ami_choudhury,"The Walk 4 Hope

Please donate generously now on the link👇🏻below to help us help those affected by this terrible situation🙏🏻

https://t.co/cjsPO3r3ji

#hrf #fundraising #donation #syria #turkey #lebanon #earthquake #victim #affected #food #shelter #clothing #help https://t.co/VIcstKgvUm","Bedfordshire, England, UK"
2,2023-03-15 16:37:17+00:00,FOURPAWSUSA,"#Earthquake Update: FOUR PAWS has entered Syria to offer support to animals impacted by the natural disaster.

Our team, led by Dr Amir Khalil, is working under high pressure to help as many animals as possible in the short time available. https://t.co/VGWUSrMjNW https://t.co/JY8GCtXrZR","Boston, MA"
3,2023-03-15 16:16:37+00:00,KaftVolter,"#deprem #diyarbakir #sanliurfa #hatay #kahramanmaras #Gaziantep #Osmaniye #adana #ADIYAMAN #Malatya 

#HelpTurkey #earthquake #Erdbeben #землетрясение 
Menschen sterben, Hilfe ist nicht genug
people are dying help is not enough #btc #coin",Anıttepe
4,2023-03-15 15:03:32+00:00,ICATinsurance,"2022 brought about 18 weather disasters that caused over $1 billion in damages. ICAT is here to help protect your greatest assets. Keep your peace of mind knowing you have the right coverage.

#disasterinsurance #hurricane #earthquake #insurance https://t.co/RWBqGXUfbV","Broomfield, CO"
5,2023-03-15 15:01:17+00:00,baitulmaal,"#Baitulmaal donors enabled $5.35M in emergency medical aid to help #earthquake survivors. More aid is needed this #Ramadan - https://t.co/sNs6PGFz6P

#hope #compassion #Ramadan2023 #Ramadanfoodpackage #Turkiye #Turkey #Syria #iftar #Orphan #cleanwater #charity #refugee #fasting https://t.co/uGS6zjjw3V","Irving, Texas"
6,2023-03-15 14:50:01+00:00,Micailic0Mica,@Beyefendiyimyav @haydarozkan06 @suleymansoylu @tcbestepe @RTErdogan @iletisim Because we care about #animals it’s not their fault they are homeless and don’t understand! Why did rescue and search #dogs help find survivors in the #earthquake? You didn’t deserve them! Stop being selfish and ignorant towards #dogs they have a right to life!,United Kingdom
7,2023-03-15 14:00:02+00:00,hayatyolu_en,"Ramadan is coming🕋🌙
We are still working hard in the earthquake-hit areas to serve the survivors and help them to better receive the month of Ramadan. Your support for us makes a difference.

https://t.co/qAT9Gq47Q0

#Turkey #Syria #earthquake #victims #injured  #kahramanmaraş https://t.co/surCqgCnLO","Istanbul, Turkey"
8,2023-03-15 13:16:00+00:00,TurkeyPulse,Will #Turkey's multibillion-dollar #earthquake fund help reelect #Erdogan? @mustfsnmz https://t.co/zvEV6vTafn,
9,2023-03-15 13:10:02+00:00,brightly_one,"Tip from OneBrightlyCyber: #Scammers take advantage of disasters like the recent earthquake to solicit money. But your donations go to them, not to help real victims. Be sure you donate to REAL CHARITIES! https://t.co/WUu9nYsRJF
#donate #earthquake #disasters #charity #giving https://t.co/X3iWED4kqm",Entire United States
10,2023-03-15 13:04:53+00:00,OneBrightly,"Tip from OneBrightly: #Scammers take advantage of disasters like the recent earthquake to solicit money. But your donations go to them, not to help real victims. Be sure you donate to REAL CHARITIES!
#donate #earthquake #disasters #charity #help https://t.co/xqUhjj0mG1 https://t.co/gpHLzhGPF3",
11,2023-03-15 12:45:04+00:00,BenetechsUS,"Tip from BeneTechs: #Scammers take advantage of disasters like the recent earthquakes to solicit money. But your donations go to them, not to help real victims. Be sure you donate to REAL CHARITIES!
#donate #earthquake #disasters #charity #help https://t.co/H3zVMQScNB https://t.co/YaX8L6Wj4D",United States
12,2023-03-15 12:40:03+00:00,GisHealthcare,"Tip from GIS HealthCare:  #Scammers take advantage of disasters like the recent earthquakes to solicit money. But your donations go to them, not to help real victims. Be sure you donate to REAL CHARITIES!
#donate #earthquake #disasters #charity #help https://t.co/uPvlrawMCf https://t.co/f6rjtW7thx",
13,2023-03-15 11:30:42+00:00,SPascoalLima,@AlbertoValdyev Hence the reason they are supporting the victims of the #earthquake in #Syria whilst he refuses to help them.,"England, United Kingdom"
14,2023-03-15 11:21:37+00:00,doorstepcollect,"With every booking made we will be donating money to the DEC so far we have raised £5645.00
We're in the DA postcodes on Thursday 23rd March 2023
#Dartford #UK #postcode #donate #charity #Help #Clothes #Doorstep #Free #Collections #DEC #earthquake #Support #TurkeySyriaEarthquake https://t.co/ihQWJ2gYcC","Liss, Guildford, Surrey"
